MAE,MSE,RMSE,R2,RMSLE,MAPE
156700.2396,102778491050.3046,320590.8468,0.9108,0.2596,0.2066
175837.4062,297075947195.7447,545046.7385,0.7983,0.237,0.1789
195648.4271,178460089721.8668,422445.3689,0.8714,0.2585,0.2134
160295.1841,95037306147.7933,308281.2128,0.8936,0.2555,0.2076
152476.1454,91399549687.0635,302323.5844,0.9336,0.243,0.1971
161236.2069,105482454479.3359,324780.6252,0.9016,0.2614,0.2006
179271.0559,350434641162.3024,591975.2032,0.7899,0.2744,0.2228
176696.5709,133044133555.9455,364752.1536,0.8956,0.2704,0.2203
143317.7217,62770724396.9971,250540.8637,0.9355,0.2616,0.2108
176224.8215,106350454690.2349,326114.1743,0.9166,0.284,0.2358
167770.3779,152283379208.7588,375685.0771,0.8847,0.2605,0.2094
14760.2524,91121645132.2827,105565.629,0.0488,0.0132,0.0148
